Subject,Requisite Type,Active,Requisite Subject List
ICT913: Networking ( Level -900 ),,,
ICT920: Management Information Systems ( Level -900 ),,,
ICT921: Applied Software Engineering ( Level -900 ),,,
ICT922: Digital Transformation and Cloud Computing ( Level -900 ),,,
ICT923: Information Technology Project Management ( Level -900 ),,,
ICT946,Pre Requisite,TRUE,ICT920: Management Information Systems ( Level -900 )
ICT921: Applied Software Engineering ( Level -900 ),,,
ICT922: Digital Transformation and Cloud Computing ( Level -900 ),,,
ICT923: Information Technology Project Management ( Level -900 ),,,
ICT934: Enterprise Systems Integration & Engineering ( Level -200 ),,,
ICT942: Cybersecurity Project ( Level -200 ),,,
ICT943: Software Development Project ( Level -200 ),,,
ICT944: Cybersecurity & Software Development Integrative Project ( Level -200 ),,,
ICT945: Professional Practice in Information Technology ( Level -200 ),,,
LAW201,Pre Requisite,TRUE,LAW101: Commerical Law ( Level -100 )
LAW202,Pre Requisite,TRUE,ACC101: Accounting Practice ( Level -100 )
LAW902,Pre Requisite,TRUE,ACC901: Accounting for Managerial Decisions ( Level -900 )
LAW901: Business and Corporation Law ( Level -900 ),,,
